SKU,MEDIDA,MARCA,MODELO,UNIDAD,X2,X4,WEB,Columna1,PROMO,INSTALACION,Columna 1
2156016HANKOOK,215/60R16,HANKOOK,KINERGY ECO 2,,,359.600,89.900,4,LIQUIDACIÓN,Sí,
,215/60R17,LING LONG,COMFORT MASTER,68.000,,250.000,64.900,,,Sí,
2156017BRIDDUE,215/60R17,BRIDGESTONE,DUELER SPORT,,,599.600,149.900,4,LIQUIDACIÓN,Sí,
,215/60R17,NEXEN,NPRIZ AH8,,,459.600,114.900,4,LIQUIDACIÓN,Sí,
2156017DUNL705,215/60R17,DUNLOP,LM705,130.000,,499.600,124.900,4,LIQUIDACIÓN,Sí,
2156017COMFCF11,215/60R17,COMFORSER,CF1100,,,339.600,84.900,4,LIQUIDACIÓN,Sí,110.900
2156017COMFCF35,215/60R17C,COMFORSER,CF350,85.000,,320.000,79.900,,,Sí,98.900
2156017ROADT01,215/60R17,ROADX,HT01,75.000,,280.000,78.900,,,Sí,82.900
,215/65R15C,SONIX,SUPERVAN S1,80.000,,300.000,79.900,,,Sí,
2156516BRIDT005,215/65R16,BRIDGESTONE,TURANZA T005,,,499.600,124.900,4,LIQUIDACIÓN,Sí,
2156516CONTI100,215/65R16C,CONTINENTAL,VANCO 100,,,479.600,119.900,4,LIQUIDACIÓN,Sí,
2156516GRENMAGA,215/65R16,GREENLANDER,MAGA AT2,85.000,,319.600,79.900,4,LIQUIDACIÓN,Sí,
2156516ROADC02,215/65R16C,ROADX,CO2,80.000,,300.000,82.900,,,Sí,87.900
,215/65R16C,ROADMARCH,PRIMEVAN 9,75.000,,280.000,74.900,,,Sí,
2156516ROADH12,215/65R16,ROADX,H12,70.000,,260.000,70.900,,,Sí,74.900
2156516ZEXTOUR,215/65R16,ZEXTOUR,HT,63.000,,240.000,59.900,,,Sí,
,215/65R17,ROADMARCH,HT 77,80.000,,300.000,79.900,,,Sí,
2157015MIRAMR16,215/70R15,MIRAGE,MR166,65.000,,250.000,64.900,,,Sí,
