SKU;MEDIDA;MARCA;MODELO;UNIDAD;X2;X4;WEB;Columna1;PROMO;INSTALACION;Columna 1
;215/45ZR16;ROADX;U11;60.000;;200.000;54.900;;;Sí;70.900
;215/45R17;SONIX;UHP 08;55.000;;210.000;54.900;;;Sí;
;215/45ZR17;ROADX;U11;63.000;;240.000;59.900;;;Sí;66.900
;215/45R17;WANLI ;SPORT RACING;62.000;;240.000;59.900;;;Sí;
;215/45ZR17;SUMAXX;MAX DRIFTING X;70.000;;270.000;69.900;;;Sí;77.900
;215/45R17;DUNLOP ;DZ102;125.000;;480.000;119.900;;;Sí;77.900
;215/45R17;NEXEN;NFERA SU1;;220000;400.000;94.900;;;Sí;
;215/45ZR18;HANKOOK;VENTUS V12 EVO 2;;;400.000;99.900;;;Sí;
;215/45R18;SONIX;UHP 08;70.000;;270.000;69.900;;;Sí;
;215/45ZR18;ROADX;U11;80.000;;300.000;79.900;;;Sí;
;215/50R13;ROADX;H03 LETRA BLANCA;60.000;;230.000;59.900;;;Sí;
;215/50R17;TRANSMATE;HT;65.000;;240.000;59.900;;;Sí;92.900
;215/50R17;NEXEN;NPRIZ AH8;120.000;;450.000;114.900;;;Sí;65.900
;215/50ZR17;ROADX;U11;75.000;;290.000;74.900;;;Sí;
;215/50R17;NEXEN;PRIMUS QX;110.000;;400.000;99.900;;;Sí;
;215/50R17;ROADMARCH;PRIME AS;75.000;;290.000;74.900;;;Sí;
;215/50R17;SONIX;UHP 08;65.000;;250.000;64.900;;;Sí;
;215/50R18;LING LONG;GRIP MASTER;80.000;;300.000;79.900;;;Sí;78.900
;215/50R18;ROADX;SU01;95.000;;360.000;94.900;;;Sí;
;215/55R16;HANKOOK;KINERGY GT;;;350.000;89.900;;;Sí;
;215/55R16;DUNLOP ;DZ102;130.000;;500.000;119.900;;;Sí;
;215/55R16;ROADMARCH;ECOPRO 99;60.000;;230.000;59.900;;;Sí;
;215/55R16;ROADX;U11;65.000;;250.000;69.900;;;Sí;
;215/55ZR17;ROADX;U11;75.000;;290.000;74.900;;;Sí;
;215/55R17;SONIX;UHP 08;67.000;;260.000;64.900;;;Sí;79.900
;215/55R17;NEXEN;NFERA SU1;110.000;;400.000;99.900;;;Sí;79.900
;215/55R18;DUNLOP ;SPORT MAX 050;;;550.000;124.900;;;Sí;
;215/55R18;KINGBOSS;G866;75.000;;280.000;69.900;;;Sí;
;215/55ZR18;ROADX;H12;80.000;;300.000;79.900;;;Sí;
;215/55ZR18;TRIANGLE;HT;;;300.000;74.900;;;Sí;
;215/60R16C;COMFORSER;CF350;75.000;;280.000;69.900;;;Sí;99.900
;215/60R16;COMFORSER;CF510;65.000;;250.000;64.900;;;Sí;72.900
;215/60R16;WANLI;SP 226;57.000;;220.000;54.900;;;Sí;
;215/60R16;HANKOOK;KINERGY ECO 2;;;350.000;89.900;;;Sí;
;215/60R17;LING LONG;COMFORT MASTER;65.000;;250.000;64.900;;;Sí;
;215/60R17;NEXEN;NPRIZ AH8;120.000;;450.000;114.900;;;Sí;
;215/60R17;DUNLOP ;LM705;130.000;;500.000;130.000;;;Sí;
;215/60R17;NEXEN;ROADIAN GTX;110.000;;400.000;99.900;;;Sí;
;215/60R17;COMFORSER;CF1100 AT;90.000;;350.000;89.900;;;Sí;110.900
;215/60R17C;SONIX;PRIMEVAN 9;80.000;;300.000;74.900;;;Sí;98.900
;215/60R17C;COMFORSER;CF350;85.000;;320.000;79.900;;;Sí;82.900
;215/60R17;SONIX;HT 79;70.000;;270.000;69.900;;;Sí;
;215/60R17;ROADX;HT01;75.000;;290.000;74.900;;;Sí;
;215/60R17;SONIX;XCOMFORT S7 ;75.000;;280.000;74.900;;;Sí;
;215/65R15C;SONIX;SUPERVAN S1;80.000;;310.000;79.900;;;Sí;
;215/65R16C;CONTINENTAL;VANCO 100;120.000;;;119.900;;;Sí;87.900
;215/65R16;GREENLANDER;MAGA AT2;90.000;;340.000;89.900;;;Sí;
;215/65R16C;ROADX;CO2;80.000;;300.000;79.900;;;Sí;74.900
;215/65R16C;ROADMARCH;PRIMEVAN 9;75.000;;280.000;74.900;;;Sí;
;215/65R16;ROADX;H12;70.000;;260.000;69.900;;;Sí;
;215/65R16;ZEXTOUR;HT;63.000;;240.000;59.900;;;Sí;
;215/65R17;ROADMARCH;HT 77;80.000;;300.000;79.900;;;Sí;
;215/65R17C;NEXEN;ROADIAN CTX;150.000;;580.000;149.900;;;Sí;
;215/70R15;MIRAGE;MR166;65.000;;250.000;64.900;;;Sí;
;215/70R15C;WANLI;SL 106;70.000;;270.000;69.900;;;Sí;
;215/70R15C;ROADMARCH;PRIMEVAN 9;75.000;;280.000;74.900;;;Sí;84.900
;215/70R16C;SONIX;PRIMEVAN 9;75.000;;290.000;74.900;;;Sí;
;215/70R16C;HANKOOK;RA08;;;450.000;119.900;;;Sí;
;215/70R16;ROADX;HT01;78.000;150000;290.000;79.900;;;Sí;
;215/70R16;WANLI;H220;75.000;;280.000;69.900;;;Sí;
;215/70R16;NEXEN;NBLUE 4 SEASONS;110.000;;400.000;99.900;;;Sí;
;215/70R16;RYDANZ;RAPTOR R09 AT;;;300.000;74.900;;;Sí;
;215/75R14C;KETER;LH STR;65.000;;240.000;59.900;;;Sí;
;215/75R14C;ROADMARCH;PRIMEVAN 9;75.000;;285.000;69.900;;;Sí;
;215/75R14 ;MILEKING;MK 818 AT;75.000;;290.000;74.900;;;Sí;
;215/75R15;MIRAGE;MR AT172;75.000;;270000;69.900;;;Sí;
;215/75R15;WINDFORCE;AT2;90.000;;350.000;89.900;;;Sí;
;215/75R16C;APTANY;RL106;83.000;;320.000;79.900;;;Sí;
;215/75R16C;CONTINENTAL;VANCO 100;;240000;;119.900;;;Sí;
;225/40R18;NEXEN;NPRIZ AH8;120.000;;450.000;119.900;;;Sí;
;225/40R18;SONIX;UHP 08;80.000;;300.000;79.900;;;Sí;
;225/40R18;WANLI;SPORT RACING;80.000;;300.000;74.900;;;Sí;
;225/40R18;SONIX;XCOMFORT S7 ;70.000;;270.000;64.900;;;Sí;142.900
;225/40R18;GOODRIDE;SA 57;90.000;;350.000;87.900;;;Sí;72.900
;225/40ZRF18;ROADX;U11 RUNFLAT;110.000;;400.000;124.900;;;Sí;
;225/40ZR18;ROADX;U11;68.000;;260.000;68.900;;;Sí;114.900
;225/40ZR19;HANKOOK;VENTUS V12 EVO 2;;;500.000;124.900;;;Sí;157.900
;225/40R19;ROADX;U11  ;100.000;;380.000;104.900;;;Sí;
;225/40R19;ROADX;U11 RUNFLAT;130.000;;500.000;139.900;;;Sí;76.900
;225/45ZR17;SONIX;UHP 08;60.000;;230.000;59.900;;;Sí;
;225/45ZR17;ROADX;U11;70.000;;260.000;69.900;;;Sí;
;225/45R17;SONIX;LZEAL 56;70000;;270.000;74.900;;;Sí;
;225/45R17;NEXEN;NPRIZ AH8;110.000;;400.000;109.900;;;Sí;
;225/45R17;ROADMARCH;LZEAL 56 RUNFLAT;100.000;;380.000;99.900;;;Sí;
;225/45R18;NEXEN;CP 662;120.000;;450.000;99.900;;;Sí;133.900
;225/45ZR18;ROADX;U11;80.000;;300.000;84.900;;;Sí;89.900
;225/45R18;LENSTONE;RUNFLAT;110.000;;400.000;104.900;;;Sí;
;225/45R18;ROADMARCH;UHP 08;70.000;;260.000;69.900;;;Sí;
;225/45R19;KUSTONE;RUNFLAT;140.000;270000;520.000;129.900;;;Sí;112.900
;225/45R19;ROADX;SU01;90.000;;360.000;99.900;;;Sí;
;225/45R19;ROADMARCH;UHP 08;85.000;;330.000;84.900;;;Sí;88.900
;225/50R15;SUMAXX;AT;85.000;;320.000;84.900;;;Sí;
;225/50R16;SONIX;UHP 08;70000;;270.000;69.900;;;Sí;
;225/50R17;ROADMARCH;UHP 08;70.000;;270.000;69.900;;;Sí;
;225/50RZR17;ROADX;U11;80.000;;300.000;74.900;;;Sí;83.900
;225/50R17;ROADX;U11 RUNFLAT;120.000;;450.000;134.900;;;Sí;142.900
;225/50R18;APTANY;RUNFLAT;130000;;500.000;99.900;;;Sí;
;225/50R18;BRIDGESTONE;ALENZA 001;200000;;;199.900;;;Sí;
;225/50R18;ROADX;SU01;90.000;;350.000;94.900;;;Sí;99.900
;225/55R17;ROADMARCH;PRIMESTAR 66;75000;;290.000;69.900;;;Sí;
;225/55R17;NEXEN;NPRIMUX QX;110.000;;400.000;99.900;;;Sí;
